population,drug,day,state,estimate,lower,upper
routine_culture_no_recorded_lmwh_shared,vancomycin,4.75,no_first_event,0.635867647130359,0.592006734516946,0.677844070018813
routine_culture_no_recorded_lmwh_shared,vancomycin,5,recovery,0.143924273440855,0.110549461488399,0.186015143753533
routine_culture_no_recorded_lmwh_shared,vancomycin,5,death,0.184650751282198,0.143521615994925,0.223317914046163
routine_culture_no_recorded_lmwh_shared,vancomycin,5,discharge,0.0580539484044941,0.0417173546377835,0.0763458548909119
routine_culture_no_recorded_lmwh_shared,vancomycin,5,no_first_event,0.613371026872453,0.568976805893526,0.655744321181646
routine_culture_no_recorded_lmwh_shared,vancomycin,5.25,recovery,0.151721270324399,0.116049321415804,0.19584032119157
routine_culture_no_recorded_lmwh_shared,vancomycin,5.25,death,0.192885709688701,0.15199834825579,0.231471900109818
routine_culture_no_recorded_lmwh_shared,vancomycin,5.25,discharge,0.0620122382585983,0.0452768951919665,0.0803968158240534
routine_culture_no_recorded_lmwh_shared,vancomycin,5.25,no_first_event,0.593380781728302,0.547840472683779,0.636789902434758
routine_culture_no_recorded_lmwh_shared,vancomycin,5.5,recovery,0.157933756099677,0.121823007561856,0.201863217452039
routine_culture_no_recorded_lmwh_shared,vancomycin,5.5,death,0.194965769615662,0.153620955892217,0.233358660463435
routine_culture_no_recorded_lmwh_shared,vancomycin,5.5,discharge,0.0732075763969269,0.0541011530787393,0.0948467232992094
routine_culture_no_recorded_lmwh_shared,vancomycin,5.5,no_first_event,0.573892897887734,0.52815773074397,0.617633214491445
routine_culture_no_recorded_lmwh_shared,vancomycin,5.75,recovery,0.167038859680274,0.130474604675775,0.212977169935449
routine_culture_no_recorded_lmwh_shared,vancomycin,5.75,death,0.20114906304125,0.159798165853774,0.239978024187137
routine_culture_no_recorded_lmwh_shared,vancomycin,5.75,discharge,0.0768593820796465,0.0568646457668072,0.0989658262075388
routine_culture_no_recorded_lmwh_shared,vancomycin,5.75,no_first_event,0.55495269519883,0.508338733306234,0.599803370256961
routine_culture_no_recorded_lmwh_shared,vancomycin,6,recovery,0.181792422626319,0.14279673403862,0.229816438050457
routine_culture_no_recorded_lmwh_shared,vancomycin,6,death,0.204568326191391,0.162501180571579,0.243991842043536
routine_culture_no_recorded_lmwh_shared,vancomycin,6,discharge,0.0825023431387675,0.0617534453174059,0.105039183296955
routine_culture_no_recorded_lmwh_shared,vancomycin,6,no_first_event,0.531136908043523,0.48221452261744,0.57705051288103
routine_culture_no_recorded_lmwh_shared,vancomycin,6.25,recovery,0.187833437520476,0.148217898929765,0.236915945777227
routine_culture_no_recorded_lmwh_shared,vancomycin,6.25,death,0.209329509087658,0.16748266653502,0.249217895439102
routine_culture_no_recorded_lmwh_shared,vancomycin,6.25,discharge,0.0888156224744652,0.0673201951146905,0.111457528006269
routine_culture_no_recorded_lmwh_shared,vancomycin,6.25,no_first_event,0.514021430917401,0.464894935355513,0.560321411136503
routine_culture_no_recorded_lmwh_shared,vancomycin,6.5,recovery,0.197887193277536,0.15896747925392,0.245807871975039
routine_culture_no_recorded_lmwh_shared,vancomycin,6.5,death,0.217358940145505,0.174670227310971,0.25683542097623
routine_culture_no_recorded_lmwh_shared,vancomycin,6.5,discharge,0.0949920886434059,0.072120069411364,0.11944537900894
routine_culture_no_recorded_lmwh_shared,vancomycin,6.5,no_first_event,0.489761777933553,0.441000601931415,0.535040075578954
routine_culture_no_recorded_lmwh_shared,vancomycin,6.75,recovery,0.204343335806298,0.163917311951767,0.252216086085302
routine_culture_no_recorded_lmwh_shared,vancomycin,6.75,death,0.218305622806518,0.175272549674848,0.258003863613264
routine_culture_no_recorded_lmwh_shared,vancomycin,6.75,discharge,0.0979810871384508,0.0747894510746421,0.122602560855842
routine_culture_no_recorded_lmwh_shared,vancomycin,6.75,no_first_event,0.479369954248733,0.429905500906315,0.52474332034689
routine_culture_no_recorded_lmwh_shared,vancomycin,7,recovery,0.21475234458274,0.173164068799301,0.264782352482306
routine_culture_no_recorded_lmwh_shared,vancomycin,7,death,0.22083980223834,0.177522828445743,0.259975809299964
routine_culture_no_recorded_lmwh_shared,vancomycin,7,discharge,0.103595209269944,0.0791749243288913,0.129945731743807
routine_culture_no_recorded_lmwh_shared,vancomycin,7,no_first_event,0.460812643908976,0.412075190699698,0.508446342822255
routine_culture_no_recorded_lmwh_shared,vancomycin,7.25,recovery,0.218798738073847,0.177068083620113,0.268857375228317
routine_culture_no_recorded_lmwh_shared,vancomycin,7.25,death,0.228209358850949,0.182811221547307,0.26973163213594
routine_culture_no_recorded_lmwh_shared,vancomycin,7.25,discharge,0.107624727345395,0.0829006019747829,0.134513091149493
routine_culture_no_recorded_lmwh_shared,vancomycin,7.25,no_first_event,0.44536717572981,0.395404997909968,0.49259933426523
