population,metric,LZD,VAN,RD,lower,upper,LZD_lower,LZD_upper,VAN_lower,VAN_upper,valid_draws,diagnostic_gate
routine_culture_no_recorded_lmwh_shared,physical_dated__recovery,0.0865498695952329,0.141413060834521,-0.0548631912392882,-0.117983082595235,-0.000762969181739813,0.0268000777119776,0.148809706566309,0.11240558372958,0.179515262967796,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_dated__death,0.249481652704755,0.223442166654313,0.0260394860504427,-0.0706125111096777,0.12628113369639,0.150808774064935,0.353101837509128,0.179160648998125,0.265919021132767,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_dated__live_exit,0.540251686635792,0.585229382098581,-0.0449776954627884,-0.142228287628228,0.0610578315072296,0.432255443599107,0.653186563827831,0.5308359276456,0.637752803396032,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu__recovery,0.0865498695952329,0.148510357213402,-0.0619604876181696,-0.125537502769358,-0.00785952647646064,0.0268000777119776,0.148809706566309,0.120235434008821,0.186578187727847,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu__death,0.249481652704755,0.221817012402991,0.0276646403017643,-0.0689839667496446,0.127844056516124,0.150808774064935,0.353101837509128,0.177873889253432,0.26513186237486,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu__live_exit,0.540251686635792,0.582888911537406,-0.0426372249016135,-0.140190768674863,0.0639436031898843,0.432255443599107,0.653186563827831,0.528960043906046,0.6360541903358,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_single__recovery,0.241881253092956,0.289443433623038,-0.0475621805300817,-0.144752453686699,0.0433302724411444,0.143998960732097,0.330980295396873,0.245040377271166,0.338758136115355,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_single__death,0.202517565012872,0.191276757516927,0.0112408074959444,-0.0795908008383552,0.110078602725836,0.109574915852637,0.30640139589723,0.149863508019647,0.232450722780251,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_single__live_exit,0.475820962389256,0.491824647304025,-0.0160036849147689,-0.119643560657134,0.090588972363418,0.364418189633108,0.585280271479633,0.437988026311522,0.541792367776863,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_timed__recovery,0.0865498695952329,0.141781806387896,-0.055231936792663,-0.118320296973623,-0.000841623119982282,0.0268000777119776,0.148809706566309,0.112632636892538,0.180040749241158,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_timed__death,0.249481652704755,0.223497873385139,0.0259837793196165,-0.0706802939103676,0.126125189494582,0.150808774064935,0.353101837509128,0.179255302021772,0.265959417700803,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_timed__live_exit,0.540251686635792,0.58480492981438,-0.0445532431785876,-0.141835216608628,0.0617682002239252,0.432255443599107,0.653186563827831,0.530332199160448,0.63743391374059,2000,TRUE
routine_culture_no_recorded_lmwh_shared,icu_dated__recovery,0.0865498695952329,0.141781806387896,-0.055231936792663,-0.118320296973623,-0.000841623119982282,0.0268000777119776,0.148809706566309,0.112632636892538,0.180040749241158,2000,TRUE
